#SL,Name of the Manufacturer,Brand Name,Generic Name,Strength,Dosage Description,Price,Use For,DAR,company_id,generic_id,strength_id,dose_id,slug,price_cleaned
903,Advanced Chemical Industries Limited,Combair Respirator Solution,Ipratropium Bromide + Salbutamol,20 mcg + 100 mcg/Metered Inhalation,Aerosol Inhalation,"15.05 Tk, 226.38 Tk",Human,005-0923-044,5,573,320.0,39,combair-respirator-solution,15.05226.38
968,Advanced Chemical Industries Limited,G-Enro,Enrofloxacin,100 mg/ml,Solution,"200.60 Tk, 920.76 Tk, 1814.44 Tk",Veterinary,593-0348-077,5,134,116.0,14,g-enro,200.60920.761814.44
973,Advanced Chemical Industries Limited,Hexicord,Chlorhexidine,4 gm/100 ml,Topical Solution,"30.09 Tk, 45.14 Tk, 65.20 Tk, 275.83 Tk",Human,593-0996-071,5,593,144.0,19,hexicord,30.0945.1465.20275.83
978,Advanced Chemical Industries Limited,ACI-Levo Vet,Levofloxacin,10 gm/100 gm,Oral Powder,"1410.04 Tk, 70.00 Tk",Veterinary,593-1003-077,5,95,123.0,24,aci-levo-vet,1410.0470.00
994,Advanced Chemical Industries Limited,Solone Oral Solution,Prednisolone,5 mg/5 ml,Solution,"65.00 Tk, 95.00 Tk",Human,593-1023-072,5,434,38.0,14,solone-oral-solution,65.0095.00
1004,Advanced Chemical Industries Limited,M-Pain Vet,Meloxicam,50 mg/10 ml,Injection,"35.11 Tk, 320.00 Tk",Veterinary,593-1036-077,5,127,351.0,15,m-pain-vet,35.11320.00
1048,Advanced Chemical Industries Limited,Cefteria,Ceftibuten,1.8 gm/100 ml,Powder For Suspension,"481.00 Tk, 802.00 Tk",Human,005-1082-023,5,629,369.0,4,cefteria,481.00802.00
1063,Advanced Chemical Industries Limited,Clean Gel Hand Wash,Ethyl Alcohol + Isopropyl Alcohol,66 ml + 3.5 ml/100 ml,Gel,"320.00 Tk, 250.00 Tk",Human,005-0748-071,5,637,377.0,12,clean-gel-hand-wash,320.00250.00
1083,Advanced Chemical Industries Limited,Acivet Cipro 20%,Ciprofloxacin,200 gm/Kg,Powder,"45.00 Tk, 241.50 Tk, 1100.00 Tk",Veterinary,005-1115-077,5,22,385.0,21,acivet-cipro-20%,45.00241.501100.00
1086,Advanced Chemical Industries Limited,N-Cin Vet 50,Neomycin Sulphate,50 gm/100 gm,Powder,"291.80 Tk, 1325.00 Tk",Veterinary,005-1120-077,5,144,386.0,21,n-cin-vet-50,291.801325.00
1087,Advanced Chemical Industries Limited,Acivet Cipro,Ciprofloxacin,5 gm/100 ml,Injection,"35.00 Tk, 266.00 Tk",Veterinary,005-1122-023,5,22,251.0,15,acivet-cipro,35.00266.00
1088,Advanced Chemical Industries Limited,Acimetro Vet,Metronidazole,30 gm/100 gm,Water Soluble Powder,"135.00 Tk, 570.00 Tk",Veterinary,005-1123-077,5,34,112.0,22,acimetro-vet,135.00570.00
1103,Advanced Chemical Industries Limited,Acilin (Vet) Oral Powder,Lincomycin,44 mg/gm,Powder,"210.00 Tk, 840.00 Tk",Veterinary,005-1140-077,5,147,125.0,21,acilin-(vet)-oral-powder,210.00840.00
1166,Advanced Chemical Industries Limited,Antigout (Vet),Allopurinol,5 gm/100 gm,Powder,"350.00 Tk, 1500.00 Tk",Veterinary,005-1231-077,5,129,110.0,21,antigout-(vet),350.001500.00
1241,Advanced Chemical Industries Limited,Cocci-Tol Plus Vet Oral Soluti,Toltrazuril,2.5 gm/100 ml,Solution,"470.00 Tk, 1610.00 Tk",Veterinary,005-1312-077,5,142,121.0,14,cocci-tol-plus-vet-oral-soluti,470.001610.00
1242,Advanced Chemical Industries Limited,Aciflo (Vet) Oral Solution,Florfenicol,20 gm/100 ml,Oral Solution,"750.00 Tk, 3150.00 Tk",Veterinary,005-1327-077,5,719,458.0,23,aciflo-(vet)-oral-solution,750.003150.00
1258,Advanced Chemical Industries Limited,Isoflow Liquid for Inhalation,Isoflurane,100 ml,Solution,"3400.00 Tk, 8000.00 Tk",Human,005-1364-004,5,730,466.0,14,isoflow-liquid-for-inhalation,3400.008000.00
1275,Advanced Chemical Industries Limited,Gavilac M,Calcium Carbonate + Sodium Alginate + Sodium Bicarbonate,3.25 gm + 5 gm + 2.13 gm/100 ml,Suspension,"40.00 Tk, 300.00 Tk",Human,005-1306-007,5,109,87.0,6,gavilac-m,40.00300.00
1335,Al-Madina Pharmaceuticals Ltd.,Tylotrat 20    20%,Tylosin,20 gm/100 gm,Powder,"233.00 Tk, 1100.00 Tk, 2100.00 Tk",Veterinary,294-0004-077,8,138,117.0,21,tylotrat-20----20%,233.001100.002100.00
1338,Al-Madina Pharmaceuticals Ltd.,Trimosul,Sulphadiazine + Trimethoprim,40 gm + 8 gm/100 ml,Suspension,"183.00 Tk, 828.00 Tk, 1650.00 Tk",Veterinary,294-0008-077,8,754,492.0,6,trimosul,183.00828.001650.00
1343,Al-Madina Pharmaceuticals Ltd.,Cocsomix   PLUS,Sodium Sulfachloropyridazine + Trimethoprim,10 gm + 2 gm/100 gm,Powder,"35.23 Tk, 142.95 Tk",Veterinary,294-0013-077,8,755,494.0,21,cocsomix---plus,35.23142.95
1349,Al-Madina Pharmaceuticals Ltd.,Alenrol Vet,Enrofloxacin,100 mg/ml,Solution,"910.00 Tk, 1750.00 Tk",Veterinary,294-0018-077,8,134,116.0,14,alenrol-vet,910.001750.00
1350,Al-Madina Pharmaceuticals Ltd.,Alcocci Pow Vet,Sulfaclozine,30 %,Powder,"220.00 Tk, 970.00 Tk",Veterinary,294-0019-077,8,756,115.0,21,alcocci-pow-vet,220.00970.00
1357,Al-Madina Pharmaceuticals Ltd.,Altetra-Vet LA,Oxytetracycline,200 mg/ml,Injection,"14.00 Tk, 25.00 Tk",Veterinary,294-0038-077,8,135,213.0,15,altetra-vet-la,14.0025.00
1358,Al-Madina Pharmaceuticals Ltd.,Algenta-Vet,Gentamicin,100 mg/ml,Injection,"44.02 Tk, 389.53 Tk",Veterinary,294-0039-077,8,146,116.0,15,algenta-vet,44.02389.53
1360,Al-Madina Pharmaceuticals Ltd.,Hyvit ADE Vet,Vitamin A + Vitamin D3 + Vitamin E,500000 IU + 75000 IU + 50 mg/100 ml,Injection,"120.06 Tk, 824.41 Tk",Veterinary,294-0041-077,8,650,388.0,15,hyvit-ade-vet,120.06824.41
1362,Al-Madina Pharmaceuticals Ltd.,Alhista Vet,Pheniramine Maleate,22.75 mg/ml,Injection,"15.05 Tk, 120.37 Tk",Veterinary,294-0043-077,8,198,389.0,15,alhista-vet,15.05120.37
1365,Al-Madina Pharmaceuticals Ltd.,Fatisol Vet,Butaphosphan + Cyanocobalamin,10 gm + 5 mg/100 ml,Injection,"50.15 Tk, 461.50 Tk",Veterinary,294-0045-077,8,446,190.0,15,fatisol-vet,50.15461.50
1368,Al-Madina Pharmaceuticals Ltd.,Set-3 Powder (Vet),Erythromycin Thiocyanate + Sulphadiazine + Trimethoprim,18 gm + 15 gm + 3 gm/100 gm,Powder,"420.00 Tk, 1750.00 Tk",Veterinary,294-0027-077,8,760,463.0,21,set-3-powder-(vet),420.001750.00
1370,Al-Madina Pharmaceuticals Ltd.,Anticocci-K Powder (Vet),Diaverdin + Nicotinamide + Sulphadimethoxine Sodium + Sulphadimidine + Vitamin K,3 gm + 3 gm + 2 gm + 20 gm + 2 gm/100 gm,Powder,"20.00 Tk, 40.00 Tk, 1600.00 Tk",Veterinary,294-0030-077,8,761,499.0,21,anticocci-k-powder-(vet),20.0040.001600.00
1390,Al-Madina Pharmaceuticals Ltd.,AMPO-VET Powder,Amprolium,20 %,Powder,"190.00 Tk, 1100.00 Tk",Veterinary,294-0070-077,8,141,120.0,21,ampo-vet-powder,190.001100.00
1392,Al-Madina Pharmaceuticals Ltd.,LV-Vet Powder,Levofloxacin,10 gm/100 gm,Oral Powder,"30.00 Tk, 55.00 Tk",Veterinary,294-0069-077,8,95,123.0,24,lv-vet-powder,30.0055.00
1419,Al-Madina Pharmaceuticals Ltd.,Tylva-Vet Powder,Tylvalosin,62.5 gm/100 gm,Water Soluble Powder,"185.00 Tk, 350.00 Tk",Veterinary,294-0099-077,8,720,459.0,22,tylva-vet-powder,185.00350.00
1421,Al-Madina Pharmaceuticals Ltd.,Thoraz,Azithromycin,200 mg/5 ml,Powder For Suspension,"100.00 Tk, 140.00 Tk",Human,294-0101-023,8,1,20.0,4,thoraz,100.00140.00
1432,Al-Madina Pharmaceuticals Ltd.,Spotless,Hydroquinone,40 mg/gm,Cream,"100.00 Tk, 130.00 Tk, 50.00 Tk",Human,294-0121-071,8,768,506.0,11,spotless,100.00130.0050.00
1444,Al-Madina Pharmaceuticals Ltd.,Alivio,Menthol + Methyl Salicylate,10 gm + 15 gm/100 gm,Cream,"40.00 Tk, 25.00 Tk",Human,294-0113-071,8,457,201.0,11,alivio,40.0025.00
1447,Al-Madina Pharmaceuticals Ltd.,Hexil Hand Sanitizer,Glycerol + Hydrogen Peroxide Solution + Isopropyl Alcohol,1.45 ml + 4.17 ml + 75 ml/100 ml,Hand Rub,"60.00 Tk, 120.00 Tk, 200.00 Tk",Human,294-0116-071,8,769,508.0,29,hexil-hand-sanitizer,60.00120.00200.00
1455,Al-Madina Pharmaceuticals Ltd.,Micoheal,Miconazole,20 mg/gm,Oral Gel,"50.00 Tk, 90.00 Tk",Human,294-0147-073,8,60,51.0,30,micoheal,50.0090.00
1466,Al-Madina Pharmaceuticals Ltd.,Alivio Extra,Camphor + Menthol + Methyl Salicylate,4 gm + 10 gm + 30 gm/100 gm,Cream,"95.00 Tk, 120.00 Tk",Human,294-0152-071,8,770,509.0,11,alivio-extra,95.00120.00
1536,Albion Laboratories Ltd.,Polyvit B-forte,Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1,20 mg + 2 mg + 2 mg + 5 mg/5 ml,Syrup,"35.24 Tk, 62.19 Tk",Human,096-0032-078,10,21,26.0,5,polyvit-b-forte,35.2462.19
1632,Albion Laboratories Ltd.,AL-Lev Vet,Levamisole,600 mg,Bolus,"20.50 Tk, 200.00 Tk",Veterinary,096-0194-077,10,125,5.0,20,al-lev-vet,20.50200.00
1644,Albion Laboratories Ltd.,Oxytetracin-Vet,Oxytetracycline,20 gm/100 gm,Powder,"9.60 Tk, 100.00 Tk, 420.00 Tk, 800.00 Tk",Veterinary,096-0207-077,10,135,117.0,21,oxytetracin-vet,9.60100.00420.00800.00
1657,Albion Laboratories Ltd.,Doxin-Al Powder (Vet),Doxycycline,100 mg/gm,Powder,"20.40 Tk, 180.00 Tk",Veterinary,096-0220-077,10,136,118.0,21,doxin-al-powder-(vet),20.40180.00
1673,Albion Laboratories Ltd.,Tylox-Al Vet,Tylosin,20 gm/100 gm,Powder,"25.00 Tk, 45.00 Tk",Veterinary,096-0237-077,10,138,117.0,21,tylox-al-vet,25.0045.00
1675,Albion Laboratories Ltd.,Albimix-Plus Vet,Sodium Sulfachloropyridazine + Trimethoprim,10 gm + 2 gm/100 gm,Powder,"17.00 Tk, 28.00 Tk, 35.00 Tk, 40.00 Tk",Veterinary,096-0240-077,10,755,494.0,21,albimix-plus-vet,17.0028.0035.0040.00
1679,Albion Laboratories Ltd.,Ciptec-AL,Ciprofloxacin,10 gm/100 ml,Solution,"1000.00 Tk, 2000.00 Tk",Veterinary,096-0261-007,10,22,106.0,14,ciptec-al,1000.002000.00
1693,Albion Laboratories Ltd.,Amolium Plus (Vet),Amprolium + Sulfaquinoxaline Sodium + Vitamin K,170 gm + 170 gm + 1 gm/KG,Powder,"36.00 Tk, 213.00 Tk, 360.00 Tk, 1150.00 Tk",Veterinary,096-0273-077,10,132,113.0,21,amolium-plus-(vet),36.00213.00360.001150.00
1736,Albion Laboratories Ltd.,Mimox 30% Powder Vet,Amoxicillin,30 %,Powder,"25.00 Tk, 28.00 Tk, 48.00 Tk",Veterinary,096-0315-077,10,28,115.0,21,mimox-30%-powder-vet,25.0028.0048.00
1766,Albion Laboratories Ltd.,Ciptec-Al 20% Vet,Ciprofloxacin,200 gm/Kg,Powder,"30.00 Tk, 270.00 Tk",Veterinary,096-0343-077,10,22,385.0,21,ciptec-al-20%-vet,30.00270.00
1771,Albion Laboratories Ltd.,Erotid (Vet),Erythromycin Thiocyanate + Sulphadiazine + Trimethoprim,18 gm + 15 gm + 3 gm/100 gm,Powder,"48.00 Tk, 470.00 Tk",Veterinary,096-0345-077,10,760,463.0,21,erotid-(vet),48.00470.00
1802,Albion Laboratories Ltd.,Genta-Al 20%,Gentamicin,20 gm/100 gm,Oral Powder,"80.00 Tk, 150.00 Tk",Veterinary,096-0384-077,10,146,117.0,24,genta-al-20%,80.00150.00
1811,Albion Laboratories Ltd.,Albivit AD3E,Vitamin A + Vitamin D3 + Vitamin E,1 Lac IU + 20000 IU + 20 mg/ml,Liquid,"170.00 Tk, 750.00 Tk",Veterinary,096-0389-077,10,650,490.0,65,albivit-ad3e,170.00750.00
1828,Albion Laboratories Ltd.,Vetmectin (Vet),Ivermectin,10 mg/ml,Injection,"130.00 Tk, 260.00 Tk",Human,096-0408-007,10,445,189.0,15,vetmectin-(vet),130.00260.00
1831,Albion Laboratories Ltd.,Albivit AD3E (Vet),Vitamin A + Vitamin D3 + Vitamin E,500000 IU + 75000 IU + 50 mg/100 ml,Injection,"45.00 Tk, 125.00 Tk, 380.00 Tk",Veterinary,096-0413-077,10,650,388.0,15,albivit-ad3e-(vet),45.00125.00380.00
1833,Albion Laboratories Ltd.,Gentanor (Vet),Gentamicin,100 mg/ml,Injection,"43.00 Tk, 115.00 Tk, 375.00 Tk",Veterinary,096-0415-077,10,146,116.0,15,gentanor-(vet),43.00115.00375.00
1834,Albion Laboratories Ltd.,Phosmin (Vet),Butaphosphan + Cyanocobalamin,10 gm + 5 mg/100 ml,Injection,"58.00 Tk, 500.00 Tk",Veterinary,096-0416-077,10,446,190.0,15,phosmin-(vet),58.00500.00
1862,Albion Laboratories Ltd.,Hexachlor Hand Rub Solution,Chlorhexidine Gluconate + Isopropyl Alcohol,500 mg + 70 gm/100 ml,Solution,"42.00 Tk, 52.00 Tk, 130.00 Tk, 140.00 Tk, 196.00 Tk, 215.00 Tk, 40.00 Tk",Human,096-0445-071,10,99,79.0,14,hexachlor-hand-rub-solution,42.0052.00130.00140.00196.00215.0040.00
1863,Albion Laboratories Ltd.,Cetrilon Solution Antiseptic,Cetrimide + Chlorhexidine Gluconate,3 gm + 300 mg/100 ml,Solution,"32.00 Tk, 44.00 Tk, 125.00 Tk, 220.00 Tk, 710.00 Tk",Human,096-0446-071,10,408,171.0,14,cetrilon-solution-antiseptic,32.0044.00125.00220.00710.00
1864,Albion Laboratories Ltd.,Albion Hand Cleaner Solution,Isopropyl Alcohol,75 ml/100 ml,Solution,"130.00 Tk, 196.00 Tk",Human,096-0447-071,10,816,531.0,14,albion-hand-cleaner-solution,130.00196.00
1867,Albion Laboratories Ltd.,Albion Hand Sanitizer Gel,Ethyl Alcohol + Isopropyl Alcohol,66 ml + 3.5 ml/100 ml,Gel,"75.00 Tk, 100.00 Tk, 130.00 Tk, 200.00 Tk",Human,096-0451-071,10,637,377.0,12,albion-hand-sanitizer-gel,75.00100.00130.00200.00
1868,Albion Laboratories Ltd.,Cetrilon Cream Antiseptic,Cetrimide + Chlorhexidine Hydrochloride,500 mg + 100 mg/100 gm,Cream,"22.00 Tk, 32.00 Tk",Human,096-0452-071,10,409,170.0,11,cetrilon-cream-antiseptic,22.0032.00
1953,Albion Laboratories Ltd.,Alvit Z Syrup,Nicotinamide + Pyridoxine Hydrochloride + Riboflavine Sodium Phosphate + Thiamine Hydrochloride + Zinc Sulphate Monohydrate,400 mg + 800 mg + 150 mg + 500 mg + 2 gm/100 ml,Liquid,"50.00 Tk, 85.00 Tk",Veterinary,096-0095-077,10,765,504.0,65,alvit-z-syrup,50.0085.00
2019,Alco Pharma Limited,Clomin,Chlorpheniramine Maleate,2 mg/5 ml,Syrup,"9.63 Tk, 13.04 Tk",Human,272-0015-021,12,20,23.0,5,clomin,9.6313.04
2078,Alco Pharma Limited,Perma,Permethrin,5 gm/100 gm,Cream,"24.07 Tk, 35.11 Tk",Human,272-0164-071,12,197,110.0,11,perma,24.0735.11
2086,Alco Pharma Limited,Zinexs,Azithromycin,200 mg/5 ml,Powder For Suspension,"85.26 Tk, 130.39 Tk, 185.56 Tk",Human,272-0151-023,12,1,20.0,4,zinexs,85.26130.39185.56
2107,Alco Pharma Limited,Mupi    2%,Mupirocin,100 mg/5 gm,Ointment,"80.24 Tk, 140.42 Tk",Human,272-0146-071,12,93,74.0,9,mupi----2%,80.24140.42
2118,Alco Pharma Limited,Bendil,Diphenhydramine Hydrochloride + Zinc Acetate,20 mg + 1 mg/gm,Cream,"20.06 Tk, 35.11 Tk, 55.17 Tk",Human,272-0202-071,12,841,542.0,11,bendil,20.0635.1155.17
2121,Alco Pharma Limited,Nuprin,Neomycin Sulphate + Polymixin B Sulphate + Pramoxine,3.5 mg + 10000 IU + 10 mg/gm,Cream,"40.12 Tk, 75.23 Tk, 140.42 Tk",Human,272-0201-071,12,842,543.0,11,nuprin,40.1275.23140.42
2133,Alco Pharma Limited,Lebrod,Levosalbutamol,1 mg/5 ml,Syrup,"45.14 Tk, 22.12 Tk",Human,272-0196-044,12,455,90.0,5,lebrod,45.1422.12
2137,Alco Pharma Limited,Adnix,Nitazoxanide,100 mg/5 ml,Powder For Suspension,"35.11 Tk, 50.15 Tk",Human,272-0205-027,12,85,18.0,4,adnix,35.1150.15
2142,Alco Pharma Limited,Leaxe,Lactulose,68 %,Oral Solution,"140.42 Tk, 250.75 Tk",Human,272-0211-060,12,201,163.0,23,leaxe,140.42250.75
2192,Alco Pharma Limited,P-Cool Max,Menthol + Methyl Salicylate,8 gm + 30 gm/100 gm,Cream,"25.08 Tk, 40.12 Tk",Human,272-0273-071,12,457,202.0,11,p-cool-max,25.0840.12
2230,Alkad Laboratories,Zaid BI,Elemental Iron + Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1 + Zinc,50 mg + 20 mg + 2 mg + 2 mg + 5 mg + 10 mg/5 ml,Syrup,"25.00 Tk, 45.00 Tk, 85.00 Tk",Human,178-0027-078,13,419,176.0,5,zaid-bi,25.0045.0085.00
2231,Alkad Laboratories,Zaid,Zinc,20 mg/5 ml,Syrup,"30.00 Tk, 55.00 Tk",Human,178-0014-062,13,31,523.0,5,zaid,30.0055.00
2232,Alkad Laboratories,Buta,Salbutamol,2 mg/5 ml,Syrup,"10.80 Tk, 22.50 Tk",Human,178-0015-044,13,36,23.0,5,buta,10.8022.50
2241,Alkad Laboratories,Zaid B,Niacinamide + Pyridoxine Hydrochloride + Riboflavin + Thiamine Hydrochloride + Zinc,400 mg + 40 mg + 40 mg + 100 mg + 200 mg/100 ml,Syrup,"45.00 Tk, 85.00 Tk",Human,178-0023-078,13,847,548.0,5,zaid-b,45.0085.00
2249,Alkad Laboratories,Lyco,Citric Acid Monohydrate + Potassium Citrate,5 gm + 30 gm/100 ml,Oral Solution,"95.00 Tk, 195.00 Tk",Human,178-0035-062,13,716,452.0,23,lyco,95.00195.00
2257,Alkad Laboratories,Alkad Haxicor,Chlorhexidine Gluconate + Isopropyl Alcohol,500 mg + 70 gm/100 ml,Solution,"40.00 Tk, 70.00 Tk, 110.00 Tk, 130.00 Tk",Human,178-0049-071,13,99,79.0,14,alkad-haxicor,40.0070.00110.00130.00
2258,Alkad Laboratories,Alkad NT Germ,Isopropyl Alcohol,75 ml/100 ml,Solution,"60.00 Tk, 100.00 Tk, 200.00 Tk",Human,178-0048-071,13,816,531.0,14,alkad-nt-germ,60.00100.00200.00
2388,Ambee Pharmaceuticals Ltd.,Vitex,Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1,20 mg + 2 mg + 2 mg + 5 mg/5 ml,Syrup,"20.92 Tk, 38.18 Tk",Human,192-0061-078,15,21,26.0,5,vitex,20.9238.18
2580,Amico Laboratories Ltd.,Saliben,Benzoic Acid + Salicylic Acid,60 mg + 30 mg/gm,Ointment,"25.00 Tk, 667.00 Tk",Human,028-0188-071,16,33,35.0,9,saliben,25.00667.00
2589,Amico Laboratories Ltd.,Clotrimazole,Clotrimazole,10 mg/gm,Cream,"35.00 Tk, 60.00 Tk",Human,028-0190-071,16,57,48.0,11,clotrimazole,35.0060.00
2597,Amico Laboratories Ltd.,Povidone 6%,Povidone Iodine,6 gm/100 gm,Cream,"22.00 Tk, 40.00 Tk, 65.00 Tk, 80.00 Tk, 300.00 Tk",Human,028-0205-071,16,123,537.0,11,povidone-6%,22.0040.0065.0080.00300.00
2741,APC Pharma Limited,Apevit,Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1,20 mg + 2 mg + 2 mg + 5 mg/5 ml,Syrup,"23.00 Tk, 41.00 Tk",Human,135-0036-078,18,21,26.0,5,apevit,23.0041.00
2759,APC Pharma Limited,Apevit Z,Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1 + Zinc,20 mg + 2 mg + 2 mg + 5 mg + 10 mg/5 ml,Syrup,"43.00 Tk, 80.00 Tk",Human,135-0080-078,18,91,218.0,5,apevit-z,43.0080.00
2882,Apex Pharma Ltd.,Azinil,Azithromycin,200 mg/5 ml,Powder For Suspension,"85.00 Tk, 130.00 Tk, 185.00 Tk",Human,170-0108-023,19,1,20.0,4,azinil,85.00130.00185.00
3076,Apollo Pharmaceutical Laboratories Ltd.,A Plex,Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1,20 mg + 2 mg + 2 mg + 5 mg/5 ml,Syrup,"30.50 Tk, 55.00 Tk",Human,076-0043-078,20,21,26.0,5,a-plex,30.5055.00
3136,Apollo Pharmaceutical Laboratories Ltd.,Zinca Plex,Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1 + Zinc,400 mg + 40 mg + 50 mg + 100 mg + 200 mg/100 ml,Syrup,"50.00 Tk, 88.00 Tk",Human,076-0085-078,20,91,582.0,5,zinca-plex,50.0088.00
