"id","quantity","unit","status","created_at","updated_at","deleted_at","created_by","updated_by","deleted_by","name"
"37","150","mg + 500 mcg + 22.5 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"150 mg + 500 mcg + 22.5 mg"
"38","5","mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"5 mg/5 ml"
"39","5","mg/ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"5 mg/ml"
"40","1250","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"1250 mg"
"41","65","mg + 500 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"65 mg + 500 mg"
"42","3","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"3 mg"
"43",".5","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,".5 mg"
"44","250","mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"250 mg/5 ml"
"45","50","mg + 47 mg + 500 mcg + 10 mg + 1 mg + 2 mg + 2 mg + 22.5 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"50 mg + 47 mg + 500 mcg + 10 mg + 1 mg + 2 mg + 2 mg + 22.5 mg"
"46","47","mg + 500 mcg + 20 mg + 2 mg + 2 mg + 5 mg + 22.5 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"47 mg + 500 mcg + 20 mg + 2 mg + 2 mg + 5 mg + 22.5 mg"
"47","850","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"850 mg"
"48","10","mg/gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"10 mg/gm"
"49","150","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"150 mg"
"50","80","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"80 mg"
"51","20","mg/gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"20 mg/gm"
"52","1","gm/100 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"1 gm/100 gm"
"53","50","mg/100 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"50 mg/100 gm"
"54","75","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"75 mg"
"55","15","mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"15 mg/5 ml"
"56","6.25","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"6.25 mg"
"57","2.5","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"2.5 mg"
"58","200","mcg + 200 mg + 100 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"200 mcg + 200 mg + 100 mg"
"59","1","gm + 100 mg/100 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"1 gm + 100 mg/100 gm"
"60","100","mg/100 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"100 mg/100 gm"
"61","40","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"40 mg"
"62","60","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"60 mg"
"63","120","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"120 mg"
"64","75","mg + 75 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"75 mg + 75 mg"
"65","8","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"8 mg"
"66","15","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"15 mg"
"67","5","mg + 25 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"5 mg + 25 mg"
"68","20","mg + 50 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"20 mg + 50 mg"
"69","1","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"1 mg"
"70","2","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"2 mg"
"71","20","mg + 2 mg + 2.75 mg + 5 mg + 10 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"20 mg + 2 mg + 2.75 mg + 5 mg + 10 mg"
"72","4","mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"4 mg/5 ml"
"73","30","mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"30 mg/5 ml"
"74","100","mg/5 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"100 mg/5 gm"
"75","80","mg/ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"80 mg/ml"
"76","6.75","gm + 750 mg + 1.3 gm + 1.45 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"6.75 gm + 750 mg + 1.3 gm + 1.45 gm"
"77","12.5","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"12.5 mg"
"78","125","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"125 mg"
"79","500","mg + 70 gm/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"500 mg + 70 gm/100 ml"
"80","50","mg + 500 mcg + 22.5 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"50 mg + 500 mcg + 22.5 mg"
"81","80","mg/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"80 mg/100 ml"
"82","20","mg + 500 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"20 mg + 500 mg"
"83","40","mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"40 mg/5 ml"
"84","480","mg + 20 mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"480 mg + 20 mg/5 ml"
"85","67","mg/ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"67 mg/ml"
"86","1.6","gm + 5 gm + 2.6 gm/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"1.6 gm + 5 gm + 2.6 gm/100 ml"
"87","3.25","gm + 5 gm + 2.13 gm/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"3.25 gm + 5 gm + 2.13 gm/100 ml"
"88","1.75","gm/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"1.75 gm/100 ml"
"89","280","mg + 2000 mg + 22 mg/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"280 mg + 2000 mg + 22 mg/100 ml"
"90","1","mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"1 mg/5 ml"
"91","200","mg + 400 mg + 30 mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"200 mg + 400 mg + 30 mg/5 ml"
"92","40","mg/vial","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"40 mg/vial"
"93","30","mg/ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"30 mg/ml"
"94","2.5","mg/ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"2.5 mg/ml"
"95","9","mg/ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"9 mg/ml"
"96","500","mg + 125 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"500 mg + 125 mg"
"97","125","mg + 31.25 mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"125 mg + 31.25 mg/5 ml"
"98","500","mg/vial","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"500 mg/vial"
"99","1","gm/vial","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"1 gm/vial"
"100","2","gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"2 gm"
"101","1","gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"1 gm"
"102","5","mg + 1 mg/ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"5 mg + 1 mg/ml"
"103","1","mg/ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"1 mg/ml"
"104",".2","gm/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,".2 gm/100 ml"
"105","250","mg + 62.5 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"250 mg + 62.5 mg"
"106","10","gm/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"10 gm/100 ml"
"107","600","mg + 900 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"600 mg + 900 mg"
"108","1","%","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"1 %"
"109","1.66","gm + 1.66 gm + 1.66 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"1.66 gm + 1.66 gm + 1.66 gm"
"110","5","gm/100 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"5 gm/100 gm"
"111","60","gm + 6.65 gm/100 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"60 gm + 6.65 gm/100 gm"
"112","30","gm/100 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"30 gm/100 gm"
"113","170","gm + 170 gm + 1 gm/KG","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"170 gm + 170 gm + 1 gm/KG"
"114","750","mg + 1.2 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"750 mg + 1.2 gm"
"115","30","%","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"30 %"
"116","100","mg/ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"100 mg/ml"
"117","20","gm/100 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"20 gm/100 gm"
"118","100","mg/gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"100 mg/gm"
"119","250","mg/ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"250 mg/ml"
"120","20","%","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"20 %"
"121","2.5","gm/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"2.5 gm/100 ml"
"122","300","mg/gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"300 mg/gm"
"123","10","gm/100 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"10 gm/100 gm"
"124","70","gm/100 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"70 gm/100 gm"
"125","44","mg/gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"44 mg/gm"
"126","500","mcg + 10 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"500 mcg + 10 mg"
"127","800","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"800 mg"
"128","400","mg + 400 mg + 30 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"400 mg + 400 mg + 30 mg"
"129","400","mg + 80 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"400 mg + 80 mg"
"130","100","mg + 500 mg/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"100 mg + 500 mg/100 ml"
"131","4.2","gm + 20.8 gm + 22 gm + 5 gm/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"4.2 gm + 20.8 gm + 22 gm + 5 gm/100 ml"
"132","50","mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"50 mg/5 ml"
"133","200","mg + 250 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"200 mg + 250 mg"
"134","375","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"375 mg"
"135","25","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"25 mg"
"136","2.5","mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"2.5 mg/5 ml"
"137","40","mg/2 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"40 mg/2 ml"
"138","50","mg/1.25 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"50 mg/1.25 ml"
"139","300","mg/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"300 mg/100 ml"
"140","300","mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"300 mg/5 ml"
"141","150","mg + 500 mcg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"150 mg + 500 mcg"
"142","250","mg/vial","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"250 mg/vial"
"143","187","mg/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"187 mg/100 ml"
"144","4","gm/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"4 gm/100 ml"
"145","500","mg/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"500 mg/100 ml"
"146","100","mg/vial","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"100 mg/vial"
"147","7.5","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"7.5 mg"
"148","20","mg/ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"20 mg/ml"
"149","100","mg/2 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"100 mg/2 ml"
"150","500","mg/2 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"500 mg/2 ml"
"151","5","mg + 50 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"5 mg + 50 mg"
"152","30","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"30 mg"
"153","300","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"300 mg"
"154","1","gm + 2 gm/100 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"1 gm + 2 gm/100 gm"
"155","75","mg + 20 mg/2 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"75 mg + 20 mg/2 ml"
"156","47","mg + 500 mcg + 10 mg + 1 mg + 2 mg + 2 mg + 50 mg + 22.5 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"47 mg + 500 mcg + 10 mg + 1 mg + 2 mg + 2 mg + 50 mg + 22.5 mg"
"157","6","mg/ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"6 mg/ml"
"158","250","IU + 5 mg/gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"250 IU + 5 mg/gm"
"159","1","Lac Unit/ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"1 Lac Unit/ml"
"160","200","mg/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"200 mg/100 ml"
"161","22.7","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"22.7 mg"
"162",".025","%","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,".025 %"
"163","68","%","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"68 %"
"164","200","mg + 1 mg + 3 mg + 70 mcg + 2000 IU + 50 IU + 75 mcg + 15 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"200 mg + 1 mg + 3 mg + 70 mcg + 2000 IU + 50 IU + 75 mcg + 15 mg"
"165","60","mg + 30 mcg + 150 mcg + 162 mg + 120 mcg + 2 mg + 6 mcg + 18 mg + 400 mcg + 150 mcg + 250 mcg + 100 mg + 2 mg + 75 mcg + 20 mg + 5 mcg + 10 mg + 109 mg + 80 mg + 2 mg + 1.7 mg + 20 mcg + 2 mg + 10 mcg + 10 mcg + 5000 IU + 1.5 mg + 400 IU + 30 IU + 25 mcg + 15 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"60 mg + 30 mcg + 150 mcg + 162 mg + 120 mcg + 2 mg + 6 mcg + 18 mg + 400 mcg + 150 mcg + 250 mcg + 100 mg + 2 mg + 75 mcg + 20 mg + 5 mcg + 10 mg + 109 mg + 80 mg + 2 mg + 1.7 mg + 20 mcg + 2 mg + 10 mcg + 10 mcg + 5000 IU + 1.5 mg + 400 IU + 30 IU + 25 mcg + 15 mg"
"166","60","mg + 30 mcg + 150 mcg + 52.49 mg + 120 mcg + 2 mg + 6 mcg + 478.695 mg + 18 mg + 400 mcg + 150 mcg + 250 mcg + 100 mg + 2 mg + 75 mcg + 20 mg + 5 mcg + 10 mg + 152.52 mg + 2 mg + 1.7 mg + 20 mcg + 2 mg + 10 mcg + 10 mcg + 1.5 mg + 400 IU + 30 IU + 25 mcg + 15 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"60 mg + 30 mcg + 150 mcg + 52.49 mg + 120 mcg + 2 mg + 6 mcg + 478.695 mg + 18 mg + 400 mcg + 150 mcg + 250 mcg + 100 mg + 2 mg + 75 mcg + 20 mg + 5 mcg + 10 mg + 152.52 mg + 2 mg + 1.7 mg + 20 mcg + 2 mg + 10 mcg + 10 mcg + 1.5 mg + 400 IU + 30 IU + 25 mcg + 15 mg"
"167","12.5","mg + 50 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"12.5 mg + 50 mg"
"168","12.5","mg + 25 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"12.5 mg + 25 mg"
"169","15","gm + 1.5 gm/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"15 gm + 1.5 gm/100 ml"
"170","500","mg + 100 mg/100 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"500 mg + 100 mg/100 gm"
"171","3","gm + 300 mg/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"3 gm + 300 mg/100 ml"
"172","25","mg + 500 mg/100 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"25 mg + 500 mg/100 gm"
"173","6","mg + 200 mg + 50 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"6 mg + 200 mg + 50 mg"
"174","5","ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"5 ml"
"175","327","mg + 1 gm + 500 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"327 mg + 1 gm + 500 mg"
"176","50","mg + 20 mg + 2 mg + 2 mg + 5 mg + 10 mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"50 mg + 20 mg + 2 mg + 2 mg + 5 mg + 10 mg/5 ml"
"177","500","mg + 100 mg/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"500 mg + 100 mg/100 ml"
"178","2","gm + 10 gm/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"2 gm + 10 gm/100 ml"
"179","250","mcg + 600 mg + 1 mg + 40 mg + 1.8 mg + 200 IU + 7 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"250 mcg + 600 mg + 1 mg + 40 mg + 1.8 mg + 200 IU + 7 mg"
"180","80","mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"80 mg/5 ml"
"181","25","mg/100 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"25 mg/100 gm"
"182","25","gm/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"25 gm/100 ml"
"183","2","gm/vial","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"2 gm/vial"
"184","50","mg + 500 mg + 100 Lac IU/100 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"50 mg + 500 mg + 100 Lac IU/100 gm"
"185","50","mg + 25 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"50 mg + 25 mg"
"186","25","mg + 50 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"25 mg + 50 mg"
"187","50","mg + 20 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"50 mg + 20 mg"
"188","5","mg + 20 gm/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"5 mg + 20 gm/100 ml"
"189","10","mg/ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"10 mg/ml"
"190","10","gm + 5 mg/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"10 gm + 5 mg/100 ml"
"191","1.5","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"1.5 mg"
"192","135","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"135 mg"
"193","70","mg + 2800 IU","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"70 mg + 2800 IU"
"194","8","mg/4 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"8 mg/4 ml"
"195",".3","gm/100 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,".3 gm/100 ml"
"196","850","mg + 15 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"850 mg + 15 mg"
"197","500","mg + 15 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"500 mg + 15 mg"
"198","17.5","mg + 100 mg + 9 mg + .35 mg + .85 mg + 2000 IU + .7 mg + 200 IU + 1.5 mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"17.5 mg + 100 mg + 9 mg + .35 mg + .85 mg + 2000 IU + .7 mg + 200 IU + 1.5 mg/5 ml"
"199","500","mg + 500 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"500 mg + 500 mg"
"200","75","mg + 400 mg + 150 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"75 mg + 400 mg + 150 mg"
"201","10","gm + 15 gm/100 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"10 gm + 15 gm/100 gm"
"202","8","gm + 30 gm/100 gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"8 gm + 30 gm/100 gm"
"203","5","mg + 20 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"5 mg + 20 mg"
