"id","name","slug","status","created_at","updated_at","deleted_at","created_by","updated_by","deleted_by"
"26","Paracetamol","paracetamol","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"27","Mebendazole","mebendazole","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"28","Amoxicillin","amoxicillin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"29","Diclofenac Sodium","diclofenac-sodium","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"30","Ferrous Sulphate","ferrous-sulphate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"31","Zinc","zinc","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"32","Benzyl Benzoate","benzyl-benzoate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"33","Benzoic Acid + Salicylic Acid","benzoic-acid-+-salicylic-acid","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"34","Metronidazole","metronidazole","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"35","Dextrose Anhydrous + Potassium Chloride + Sodium Chloride + Trisodium Citrate","dextrose-anhydrous-+-potassium-chloride-+-sodium-chloride-+-trisodium-citrate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"36","Salbutamol","salbutamol","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"37","Cephradine","cephradine","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"38","Ferrous Sulphate + Folic Acid + Zinc","ferrous-sulphate-+-folic-acid-+-zinc","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"39","Cetirizine Dihydrochloride","cetirizine-dihydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"40","Domperidone","domperidone","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"41","Calcium Carbonate","calcium-carbonate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"42","Aceclofenac","aceclofenac","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"43","Caffeine + Paracetamol","caffeine-+-paracetamol","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"44","Bromazepam","bromazepam","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"45","Clonazepam","clonazepam","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"46","Erythromycin","erythromycin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"47","Hyoscine Butyl Bromide","hyoscine-butyl-bromide","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"48","Loratadine","loratadine","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"49","Ascorbic Acid + Elemental Iron + Folic Acid + Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1 + Zinc","ascorbic-acid-+-elemental-iron-+-folic-acid-+-nicotinamide-+-pyridoxine-hydrochloride-+-riboflavin-+-vitamin-b1-+-zinc","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"50","Levocetirizine Hydrochloride","levocetirizine-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"51","Desloratadine","desloratadine","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"52","Elemental Iron + Folic Acid + Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1 + Zinc","elemental-iron-+-folic-acid-+-nicotinamide-+-pyridoxine-hydrochloride-+-riboflavin-+-vitamin-b1-+-zinc","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"53","Flucloxacillin","flucloxacillin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"54","Vitamin E","vitamin-e","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"55","Metformin Hydrochloride","metformin-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"56","Thiamine Hydrochloride","thiamine-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"57","Clotrimazole","clotrimazole","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"58","Fluconazole","fluconazole","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"59","Gliclazide","gliclazide","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"60","Miconazole","miconazole","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"61","Econazole Nitrate","econazole-nitrate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"62","Clobetasone Butyrate","clobetasone-butyrate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"63","Ambroxol","ambroxol","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"64","Ketorolac Tromethamine","ketorolac-tromethamine","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"65","Aspirin","aspirin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"66","Carvedilol","carvedilol","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"67","Ramipril","ramipril","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"68","Clopidogrel","clopidogrel","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"69","Amlodipine","amlodipine","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"70","Metoprolol Tartrate","metoprolol-tartrate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"71","Riboflavin","riboflavin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"72","Folic Acid","folic-acid","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"73","Cyanocobalamin + Pyridoxine Hydrochloride + Vitamin B1","cyanocobalamin-+-pyridoxine-hydrochloride-+-vitamin-b1","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"74","Econazole Nitrate + Triamcinolone Acetonide","econazole-nitrate-+-triamcinolone-acetonide","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"75","Betamethasone","betamethasone","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"76","Baclofen","baclofen","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"77","Naproxen","naproxen","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"78","Meclizine Hydrochloride","meclizine-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"79","Dextromethorphan Hydrobromide","dextromethorphan-hydrobromide","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"80","Fexofenadine Hydrochloride","fexofenadine-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"81","Aspirin + Clopidogrel","aspirin-+-clopidogrel","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"82","Sucralose","sucralose","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"83","Pioglitazone","pioglitazone","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"84","Pantoprazole","pantoprazole","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"85","Nitazoxanide","nitazoxanide","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"86","Amlodipine + Atenolol","amlodipine-+-atenolol","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"87","Frusemide + Spironolactone","frusemide-+-spironolactone","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"88","Glimepiride","glimepiride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"89","Atenolol","atenolol","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"90","Losartan Potassium","losartan-potassium","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"91","Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1 + Zinc","nicotinamide-+-pyridoxine-hydrochloride-+-riboflavin-+-vitamin-b1-+-zinc","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"92","Bromhexine Hydrochloride","bromhexine-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"93","Mupirocin","mupirocin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"94","Etoricoxib","etoricoxib","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"95","Levofloxacin","levofloxacin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"96","Tiemonium Methylsulphate","tiemonium-methylsulphate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"97","Clobetasol Propionate","clobetasol-propionate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"98","Anhydrous Glucose + Potassium Chloride + Sodium Chloride + Trisodium Citrate","anhydrous-glucose-+-potassium-chloride-+-sodium-chloride-+-trisodium-citrate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"99","Chlorhexidine Gluconate + Isopropyl Alcohol","chlorhexidine-gluconate-+-isopropyl-alcohol","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"100","Montelukast","montelukast","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"101","Elemental Iron + Folic Acid + Zinc","elemental-iron-+-folic-acid-+-zinc","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"102","Ondansetron","ondansetron","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"103","Esomeprazole + Naproxen","esomeprazole-+-naproxen","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"104","Famotidine","famotidine","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"105","Calcium (Coral Calcium) + Vitamin D3","calcium-(coral-calcium)-+-vitamin-d3","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"106","Rupatadine","rupatadine","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"107","Magaldrate + Simethicone","magaldrate-+-simethicone","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"108","Simethicone","simethicone","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"109","Calcium Carbonate + Sodium Alginate + Sodium Bicarbonate","calcium-carbonate-+-sodium-alginate-+-sodium-bicarbonate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"110","Bismuth Subsalicylate","bismuth-subsalicylate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"111","Diphenhydramine Hydrochloride + Guaiphenesin + Levomenthol","diphenhydramine-hydrochloride-+-guaiphenesin-+-levomenthol","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"112","Ketotifen","ketotifen","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"113","Aluminium Oxide + Magnesium Hydroxide + Simethicone","aluminium-oxide-+-magnesium-hydroxide-+-simethicone","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"114","Lidocaine Hydrochloride","lidocaine-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"115","Sodium Chloride","sodium-chloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"116","Amoxicillin + Clavulanic Acid","amoxicillin-+-clavulanic-acid","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"117","Meropenem","meropenem","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"118","Ceftriaxone","ceftriaxone","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"119","Chloramphenicol + Dexamethasone","chloramphenicol-+-dexamethasone","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"120","Moxifloxacin","moxifloxacin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"121","Olopatadine","olopatadine","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"122","Cefuroxime + Clavulanic Acid","cefuroxime-+-clavulanic-acid","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"123","Povidone Iodine","povidone-iodine","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"124","Levamisole + Triclabendazole","levamisole-+-triclabendazole","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"125","Levamisole","levamisole","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"126","Promethazine Hydrochloride","promethazine-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"127","Meloxicam","meloxicam","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"128","Sulfadiazine + Sulphadimidine + Sulphapyridine","sulfadiazine-+-sulphadimidine-+-sulphapyridine","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"129","Allopurinol","allopurinol","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"130","Acetylsalicylic Acid + Vitamin C","acetylsalicylic-acid-+-vitamin-c","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"131","Diphenhydramine Hydrochloride","diphenhydramine-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"132","Amprolium + Sulfaquinoxaline Sodium + Vitamin K","amprolium-+-sulfaquinoxaline-sodium-+-vitamin-k","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"133","Furosemide","furosemide","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"134","Enrofloxacin","enrofloxacin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"135","Oxytetracycline","oxytetracycline","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"136","Doxycycline","doxycycline","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"137","Chlortetracycline Hydrochloride","chlortetracycline-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"138","Tylosin","tylosin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"139","Norfloxacine","norfloxacine","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"140","Tilmicosin","tilmicosin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"141","Amprolium","amprolium","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"142","Toltrazuril","toltrazuril","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"143","Sulphaclozine","sulphaclozine","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"144","Neomycin Sulphate","neomycin-sulphate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"145","Marbofloxacin","marbofloxacin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"146","Gentamicin","gentamicin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"147","Lincomycin","lincomycin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"148","Dexamethasone","dexamethasone","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"149","Celecoxib","celecoxib","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"150","Sparfloxacin","sparfloxacin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"151","Ampicillin","ampicillin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"152","Ceftazidime","ceftazidime","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"153","Flupenthixol + Melitracen","flupenthixol-+-melitracen","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"154","Aluminium Hydroxide + Magnesium Hydroxide + Simethicone","aluminium-hydroxide-+-magnesium-hydroxide-+-simethicone","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"155","Chloroquine Phosphate","chloroquine-phosphate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"156","Cephalexin","cephalexin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"157","Bambuterol Hydrochloride","bambuterol-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"158","Betamethasone Sodium Phosphate + Neomycin Sulphate","betamethasone-sodium-phosphate-+-neomycin-sulphate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"159","Boric Acid + Calcium Gluconate + Dextrose Anhydrous + Magnesium Hypophosphite","boric-acid-+-calcium-gluconate-+-dextrose-anhydrous-+-magnesium-hypophosphite","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"160","Chondroitin + Glucosamine","chondroitin-+-glucosamine","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"161","Carbocisteine","carbocisteine","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"162","Cefadroxil","cefadroxil","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"163","Cefpodoxime","cefpodoxime","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"164","Carbamazepine","carbamazepine","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"165","Sertraline","sertraline","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"166","Dexamethasone Sodium Phosphate","dexamethasone-sodium-phosphate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"167","Drotaverine Hydrochloride","drotaverine-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"168","Linezolid","linezolid","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"169","Ferrous Gluconate","ferrous-gluconate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"170","Ferrous Sulphate + Folic Acid","ferrous-sulphate-+-folic-acid","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"171","Ibuprofen","ibuprofen","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"172","Flunarizine","flunarizine","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"173","Griseofulvin","griseofulvin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"174","Halothane","halothane","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"175","Chlorhexidine Gluconate","chlorhexidine-gluconate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"176","Hydrocortisone","hydrocortisone","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"177","Zopiclone","zopiclone","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"178","Chloramphenicol","chloramphenicol","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"179","Sodium Cromoglycate","sodium-cromoglycate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"180","Propranolol Hydrochloride","propranolol-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"181","Irbesartan","irbesartan","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"182","Amikacin","amikacin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"183","Amiloride Hydrochloride + Hydrochlorothiazide","amiloride-hydrochloride-+-hydrochlorothiazide","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"184","Ketoprofen","ketoprofen","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"185","Lansoprazole","lansoprazole","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"186","Gemfibrozil","gemfibrozil","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"187","Mefloquine","mefloquine","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"188","Hydrocortisone + Miconazole Nitrate","hydrocortisone-+-miconazole-nitrate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"189","Diclofenac + Lidocaine Hydrochloride","diclofenac-+-lidocaine-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"190","Isosorbide Mononitrate","isosorbide-mononitrate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"191","Elemental Iron + Folic Acid + Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1 + Vitamin C + Zinc","elemental-iron-+-folic-acid-+-nicotinamide-+-pyridoxine-hydrochloride-+-riboflavin-+-vitamin-b1-+-vitamin-c-+-zinc","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"192","Bacitracin Zinc + Neomycin Sulphate","bacitracin-zinc-+-neomycin-sulphate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"193","Nortriptyline","nortriptyline","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"194","Vitamin C","vitamin-c","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"195","Nystatin","nystatin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"196","Lomefloxacin","lomefloxacin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"197","Permethrin","permethrin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"198","Pheniramine Maleate","pheniramine-maleate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"199","Iron Hydroxide Polymaltose","iron-hydroxide-polymaltose","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"200","Simvastatin","simvastatin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"201","Lactulose","lactulose","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"202","Ascorbic Acid + Copper + Manganese + Selenium + Vitamin A + Vitamin E + Vitamin K + Zinc","ascorbic-acid-+-copper-+-manganese-+-selenium-+-vitamin-a-+-vitamin-e-+-vitamin-k-+-zinc","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"203","Azithromycin","azithromycin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"204","Calcium + Vitamin D3","calcium-+-vitamin-d3","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"205","Tramadol Hydrochloride","tramadol-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"206","Omeprazole","omeprazole","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"207","Gabapentin","gabapentin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"208","Isoniazid + Rifampicin","isoniazid-+-rifampicin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"209","Ethambutol + Isoniazid + Pyrazinamide + Rifampicin","ethambutol-+-isoniazid-+-pyrazinamide-+-rifampicin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"210","Ethambutol + Isoniazid + Rifampicin","ethambutol-+-isoniazid-+-rifampicin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"211","Ethambutol","ethambutol","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"212","Isoniazid + Pyrazinamide + Rifampicin","isoniazid-+-pyrazinamide-+-rifampicin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"213","Levetiracetam","levetiracetam","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"214","Donepezil Hydrochloride","donepezil-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"215","Cefuroxime","cefuroxime","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"216","Cefixime","cefixime","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"217","Esomeprazole","esomeprazole","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"218","Atorvastatin","atorvastatin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"219","Ticagrelor","ticagrelor","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
